"","date","pred_class"
"1",2018-01-01,"1"
"2",2018-01-02,"1"
"3",2018-01-03,"1"
"4",2018-01-04,"1"
"5",2018-01-05,"1"
"6",2018-01-06,"1"
"7",2018-01-07,"0"
"8",2018-01-08,"0"
"9",2018-01-09,"1"
"10",2018-01-10,"1"
"11",2018-01-11,"1"
"12",2018-01-12,"1"
"13",2018-01-13,"1"
"14",2018-01-14,"1"
"15",2018-01-15,"1"
"16",2018-01-16,"1"
"17",2018-01-17,"1"
"18",2018-01-18,"1"
"19",2018-01-19,"1"
"20",2018-01-20,"1"
"21",2018-01-21,"1"
"22",2018-01-22,"1"
"23",2018-01-23,"1"
"24",2018-01-24,"0"
"25",2018-01-25,"1"
"26",2018-01-26,"1"
"27",2018-01-27,"1"
"28",2018-01-28,"1"
"29",2018-01-29,"1"
"30",2018-01-30,"1"
"31",2018-01-31,"1"
"32",2018-02-01,"1"
"33",2018-02-02,"1"
"34",2018-02-03,"1"
"35",2018-02-04,"1"
"36",2018-02-05,"1"
"37",2018-02-06,"1"
"38",2018-02-07,"1"
"39",2018-02-08,"1"
"40",2018-02-09,"1"
"41",2018-02-10,"1"
"42",2018-02-11,"1"
"43",2018-02-12,"1"
"44",2018-02-13,"1"
"45",2018-02-14,"1"
"46",2018-02-15,"1"
"47",2018-02-16,"1"
"48",2018-02-17,"1"
"49",2018-02-18,"1"
"50",2018-02-19,"1"
"51",2018-02-20,"1"
"52",2018-02-21,"1"
"53",2018-02-22,"1"
"54",2018-02-23,"1"
"55",2018-02-24,"1"
"56",2018-02-25,"1"
"57",2018-02-26,"1"
"58",2018-02-27,"1"
"59",2018-02-28,"1"
"60",2018-03-01,"1"
"61",2018-03-02,"1"
"62",2018-03-03,"1"
"63",2018-03-04,"0"
"64",2018-03-05,"1"
"65",2018-03-06,"1"
"66",2018-03-07,"1"
"67",2018-03-08,"1"
"68",2018-03-09,"1"
"69",2018-03-10,"1"
"70",2018-03-11,"0"
"71",2018-03-12,"1"
"72",2018-03-13,"1"
"73",2018-03-14,"1"
"74",2018-03-15,"1"
"75",2018-03-16,"1"
"76",2018-03-17,"1"
"77",2018-03-18,"1"
"78",2018-03-19,"1"
"79",2018-03-20,"0"
"80",2018-03-21,"0"
"81",2018-03-22,"1"
"82",2018-03-23,"1"
"83",2018-03-24,"1"
"84",2018-03-25,"1"
"85",2018-03-26,"1"
"86",2018-03-27,"1"
"87",2018-03-28,"1"
"88",2018-03-29,"1"
"89",2018-03-30,"1"
